72,사랑하는 사람이 있다면 당신의 마음을 전해보세요. 긍정의 화답이 돌아올 행운의 날입니다.
73,오늘은 좋은 결실을 이루기 좋은 하루입니다. 고된 일이 있더라도 끝까지 해보세요. 좋은 결과가 기다리고 있을 것입니다.
74,오늘은 내가 가지고 있는 모든 능력과 열정을 쏟아부으면 상상 이상의 좋은 결과가 있을 좋은 날입니다.
75,마음먹은 일은 끝가지 해내는 용기와 믿음이 필요한 하루입니다. 당신의 수고는 결코 헛되지 않을 것입니다.
76,"오늘 아침은 조금 피곤할 수 있겠지만, 저녁으로 가면서 서서히 운이 좋아지는 하루입니다."
77,그동안 잘 안 풀려서 미뤄 왔던 일이 있다면 해결하기 아주 좋은 날입니다.
78,그동안 바라왔던 소망이 있다면 오늘 이룰 수 있는 아주 좋은 날입니다.
79,오늘은 업무적인 것보다는 본인에게 정서적으로 기쁨을 줄 수 있는 개인생활에 치중하는 것이 좋을 하루입니다.
80,당신의 좋은 기운이 당신 주변 사람들에게 도움을 줄 수 있는 좋은 날입니다. 
81,잘 안 풀리는 것에 무턱대고 시도하기보다는 오늘은 일단 한 걸음 물러서 관망해 보는 것을 추천드립니다.
82,오늘은 기분 좋은 일이 생기고 정신적으로 풍요로우며 사랑하는 사람에게 사랑받는 날이 될 확률이 높습니다.
83,지금 잘 안 풀리는 일이 누군가의 도움을 받아 쉽게 풀릴 수 있는 하루입니다. 자신 있게 진행해 보도록 하세요.
84,오늘은 생각대로 일이 잘 안 풀릴 수 있습니다. 하지만 그동안 갈고닦은 실력으로 전화위복할 수 있는 날입니다.
85,오늘은 지출이 많아질 수 있는 날입니다. 정말로 필요한 것인지 다시 한번 되돌아보는 절제와 인내가 필요합니다.
86,오늘은 너무 바빠 집중력이 흐트러질 수 있는 하루입니다. 적절한 휴식을 취하는 것을 권해드립니다.
87,오늘은 기분 전환이 필요한 하루입니다. 새로운 일을 추진하는 것도 좋지만 한 발자국 물러서 주변을 살피는 것도 좋을 것입니다.
88,오늘은 당신이 원하는 것을 얻을 수 있는 하루입니다. 하지만 아무런 노력도 하지 않는 사람에게는 주어지는 것이 없습니다.
89,욕심을 부리다가 자칫 일이 더 꼬이게 될 수 있습니다. 조급해하지 말고 순리를 지키는 것이 좋을 하루입니다.
90,한 가지 일에 몰두하지 못한다면 아무것도 얻지 못하는 하루가 될 수 있습니다. 작은 일부터 하나씩 해결하는 지혜가 필요합니다.
91,조급한 마음이 들더라도 여유를 가지고 생활한다면 더 좋은 결과가 당신을 기다리고 있을 것입니다.
92,분위기에 들떠서 자신의 본문을 잊는다면 미래에 일이 배로 불어나 있을 것입니다. 자신의 일을 묵묵히 해나가는 것이 중요합니다.
93,"오전에는 먹구름이 낀 듯 피곤할 수 있겠지만, 오후에는 차차 흐름이 좋아질 것입니다. 행운을 빕니다."
94,상대방에게 너무 큰 기대를 한다면 오히려 더 큰 실망으로 낙심할 수 있습니다. 많은 것을 바라지 않으면 좋을 하루입니다.
95,당신의 호기심을 믿고 새로운 것에 도전해 본다면 더 좋은 결과가 기대되는 날입니다.
96,"지금은 무기력하고 피곤하여 힘드시겠지만, 게으름 피우지 않는다면 당신에게 배로 보상이 있을 것입니다."
97,당신이 먼저 나서서 일을 처리한다면 당신에 대한 좋은 인상을 남기는 계기가 되어 큰 인덕을 보게 될 것입니다.
98,최선을 다하지 않는다면 기회가 찾아와도 잡지 못할 수 있습니다. 작은 일이라도 마땅히 해야 할 일에 최선을 다하시길 바랍니다.
99,마음의 문을 열어 상대방의 의견에 경청한다면 많은 이들이 당신에게 호감을 살 것입니다.
100,오늘은 충동적인 지출이 있을 수 있습니다. 자신의 경제적인 상황을 잘 파악하는 것이 중요합니다.
